Country Code,Entity,Urban Population,Internet Access (%),Eating Disorder(%),Depressive Disorder (%),Deaths Age 5-14,Deaths Age 15-49,Deaths Age 50-59,Deaths Age 70+,Male Suicide Rate,Female Suicide Rate,Combined Suicide Rate
AFG,Afghanistan,25.754,17.600000381469727,0.12,5.13,0.22,7.22,9.87,9.47,6.19,5.67,5.96
AGO,Angola,66.177,32.400001525878906,0.14,5.86,0.64,7.81,26.96,55.49,21.7053,4.68,12.5546
ALB,Albania,61.229,68.5503921508789,0.15,2.63,0.66,6.99,5.4,8.45,5.27,2.22,3.72
ARE,United Arab Emirates,86.789,99.1500015258789,0.32,3.76,0.09,8.21,8.34,7.63,6.29,2.63,5.24
ARG,Argentina,91.991,79.9000015258789,0.36,2.59,0.72,14.2,13.5,17.95,13.4763,3.31,8.14
ARM,Armenia,63.219,66.54395294189453,0.13,3.19,0.28,8.12,13.05,32.78,4.92,1.02,2.66
ATG,Antigua and Barbuda,24.506,,0.28,3.17,0.07,3.81,3.32,5.63,0.0,0.6,0.32
AUS,Australia,86.124,88.5999984741211,1.14,4.83,0.37,15.13,13.59,13.36,16.9697,5.58,11.2523
AUT,Austria,58.515,87.75220489501953,0.62,3.42,0.3,12.75,20.03,34.75,16.556,4.64,10.4022
AZE,Azerbaijan,56.031,81.0999984741211,0.15,2.94,0.22,4.29,5.2,9.21,6.61,1.48,3.97
BDI,Burundi,13.366,6.199999809265137,0.07,4.79,0.92,7.94,27.31,55.69,18.9057,6.35,12.1224
BEL,Belgium,98.041,90.27542877197266,0.48,3.9,0.33,19.21,27.6,28.21,19.554,8.41,13.9283
BEN,Benin,47.861,22.399999618530277,0.1,4.54,0.68,6.99,23.54,49.54,20.2891,6.09,12.7127
BFA,Burkina Faso,29.98,18.0,0.09,4.43,0.82,7.47,28.98,62.82,24.4542,6.5,14.38
BGD,Bangladesh,37.405,23.799999237060547,0.12,4.75,1.08,5.75,6.34,9.79,6.02,1.66,3.85
BGR,Bulgaria,75.347,67.94698333740234,0.17,2.88,0.52,12.11,20.29,32.41,10.5745,2.86,6.5
BHR,Bahrain,89.394,99.70149230957033,0.3,4.72,0.12,6.75,4.89,8.44,9.86,2.27,7.2
BHS,Bahamas,83.132,85.0,0.31,3.21,0.08,3.77,3.93,5.7,5.76,1.23,3.37
BIH,Bosnia and Herzegovina,48.626,69.94635009765625,0.15,2.95,0.57,9.82,14.19,22.5,13.478,3.41,8.25
BLR,Belarus,79.044,82.78915405273438,0.14,4.13,0.56,25.73,31.05,37.34,30.1174,5.28,16.4924
BLZ,Belize,45.866,50.79999923706055,0.2,3.46,0.2,8.7,11.46,17.38,13.6426,1.83,7.65
BOL,Bolivia,69.773,47.47481918334961,0.25,3.55,0.68,7.68,12.28,15.46,9.6,4.19,6.82
BRA,Brazil,86.824,73.91243743896484,0.24,3.99,0.44,7.54,8.49,9.37,10.3203,2.76,6.41
BRB,Barbados,31.158,,0.25,3.34,0.13,4.49,6.23,12.3,0.485,0.158,0.305
BRN,Brunei,77.942,95.0,0.46,1.74,0.18,6.35,8.44,20.13,4.24,0.781,2.54
BTN,Bhutan,41.612,53.5,0.15,4.16,0.28,5.61,10.75,20.58,6.77,3.08,5.07
BWA,Botswana,70.172,61.0,0.19,4.46,0.22,22.24,33.46,41.09,35.5426,7.79,20.2166
CAF,Central African Republic,41.77,8.300000190734863,0.07,5.99,1.13,13.43,50.05,60.77,39.6428,9.3,22.963
CAN,Canada,81.482,96.5,0.47,3.64,0.84,15.46,16.68,11.96,15.3471,5.38,10.3408
CHE,Switzerland,73.849,93.14608764648438,0.54,4.08,0.3,10.77,18.91,25.78,14.1646,5.65,9.83
CHL,Chile,87.643,86.0999984741211,0.39,3.95,0.54,13.52,13.58,14.97,13.4021,2.98,8.04
CHN,China,60.308,64.1098403930664,0.12,2.92,0.4,5.79,11.21,34.79,8.63,4.8,6.67
CIV,Cote d'Ivoire,51.239,36.28895568847656,0.12,4.01,0.81,8.24,28.47,63.21,25.6515,5.03,15.6586
CMR,Cameroon,56.968,33.5,0.11,4.73,0.74,9.0,28.54,57.49,25.1526,7.59,15.9215
COD,Democratic Republic of Congo,45.046,12.5,0.08,5.5,0.65,7.69,27.98,50.92,20.6948,5.02,12.4111
COG,Congo,67.373,,0.13,5.64,0.5,8.36,27.32,55.76,18.2832,6.06,11.6181
COL,Colombia,81.104,65.00689697265625,0.23,2.35,0.85,7.8,5.7,7.37,5.96,1.71,3.74
COM,Comoros,29.164,,0.09,4.42,0.64,5.05,14.71,34.98,11.3312,5.82,8.46
CPV,Cape Verde,66.195,61.943397521972656,0.14,5.07,0.44,14.04,35.41,53.6,27.4029,5.06,15.2308
CRI,Costa Rica,80.076,81.20259857177734,0.25,3.42,0.54,10.83,10.46,7.85,13.3495,1.93,7.62
CUB,Cuba,77.109,67.97080993652344,0.2,4.02,0.31,10.7,21.39,42.37,16.6718,4.08,10.1905
CYP,Cyprus,66.805,86.06362915039062,0.44,3.38,0.09,5.93,6.15,6.47,5.3,1.06,3.18
CZE,Czechia,73.921,80.866943359375,0.21,3.11,0.26,13.67,18.76,21.77,15.442,3.78,9.48
DEU,Germany,77.376,88.13451385498047,0.47,3.7,0.25,11.14,17.02,26.66,12.8011,3.91,8.27
DJI,Djibouti,77.915,59.0,0.11,4.64,0.7,6.25,19.6,44.81,16.2533,7.56,11.9485
DNK,Denmark,87.994,98.0464324951172,0.52,3.85,0.13,9.67,16.94,20.92,11.0983,4.24,7.63
DOM,Dominican Republic,81.828,75.80000305175781,0.24,4.0,0.26,7.26,10.7,15.85,8.53,1.85,5.11
DZA,Algeria,73.189,57.900001525878906,0.22,4.37,0.27,5.31,3.51,5.68,3.3,1.9,2.6
ECU,Ecuador,63.986,61.59999847412109,0.3,3.51,1.98,13.48,10.59,12.53,11.8803,3.6,7.68
EGY,Egypt,42.73,57.28286743164063,0.21,4.13,0.21,4.07,6.31,7.25,4.65,2.22,3.41
ERI,Eritrea,40.712,,0.09,4.99,0.81,10.06,32.39,53.61,27.1643,8.28,17.2563
ESP,Spain,80.565,90.71866607666016,0.65,5.19,0.16,7.31,10.26,15.33,7.88,2.83,5.28
EST,Estonia,69.051,90.22892761230467,0.19,3.99,0.47,15.36,21.36,25.73,20.1596,4.49,11.9633
ETH,Ethiopia,21.225,22.0,0.09,4.74,0.6,5.56,20.65,57.52,14.1635,5.18,9.45
FIN,Finland,85.446,89.60738372802734,0.53,4.55,0.33,17.57,21.22,17.54,20.0883,6.78,13.4337
FJI,Fiji,56.75,,0.11,3.03,1.22,13.04,10.99,16.07,13.0787,5.96,9.51
FRA,France,80.709,83.3397445678711,0.52,4.23,0.27,15.42,22.12,31.29,15.1625,4.54,9.65
FSM,Micronesia (country),22.812,,0.08,3.02,1.4,34.95,23.88,27.71,44.3228,13.209,28.9856
GAB,Gabon,89.741,61.0,0.19,5.65,0.49,9.14,30.13,59.1,23.3072,3.81,13.1117
GBR,United Kingdom,83.652,92.51663208007812,0.47,4.5,0.13,10.49,10.62,7.94,10.4033,3.41,6.88
GEO,Georgia,59.039,68.8467025756836,0.14,3.54,0.21,8.6,11.62,17.11,13.9698,2.17,7.65
GHA,Ghana,56.707,53.0,0.12,4.46,0.56,6.68,20.77,44.68,20.0375,1.79,10.5411
GIN,Guinea,36.5,23.0,0.09,4.44,0.85,7.18,24.93,49.2,18.362,8.03,12.3257
GMB,Gambia,61.931,34.5,0.1,5.66,0.48,6.07,22.4,47.84,13.2703,6.24,9.64
GNB,Guinea-Bissau,43.777,19.399999618530277,0.09,4.58,0.79,10.34,34.98,54.63,19.7816,6.69,12.3787
GNQ,Equatorial Guinea,72.627,,0.22,5.86,0.43,6.39,20.24,51.74,18.4792,8.83,13.5086
GRC,Greece,79.388,75.67120361328125,0.47,5.5,0.09,4.49,6.27,7.56,5.9,1.45,3.62
GRD,Grenada,36.396,56.0,0.23,3.38,0.13,4.91,8.27,13.09,0.529,0.725,0.636
GTM,Guatemala,51.439,44.40105056762695,0.2,3.84,0.37,8.23,6.11,7.06,10.3094,2.53,6.23
GUY,Guyana,26.689,,0.19,5.1,1.23,42.81,46.42,55.86,64.9737,16.9595,40.8524
HND,Honduras,57.73,39.38835144042969,0.17,3.29,0.1,2.55,6.73,12.03,4.39,0.981,2.58
HRV,Croatia,57.242,79.07978057861328,0.18,3.24,0.4,11.61,22.87,34.78,17.6925,5.08,11.0095
HTI,Haiti,56.192,33.29999923706055,0.12,3.72,0.78,11.16,15.65,21.86,14.8716,7.98,11.1732
HUN,Hungary,71.644,80.37169647216797,0.2,3.04,0.31,15.62,28.55,36.75,19.1467,5.51,11.7749
IDN,Indonesia,55.985,47.69064712524414,0.12,2.52,0.2,3.67,3.78,8.01,3.99,1.15,2.55
IND,India,34.472,29.399999618530277,0.13,3.75,1.09,19.4,16.3,22.61,14.6899,11.1221,12.9087
IRL,Ireland,63.405,87.00005340576172,0.5,4.65,0.25,11.61,12.15,6.66,14.3223,3.57,8.9
IRN,Iran,75.391,77.77083587646484,0.27,5.1,0.27,6.91,4.88,6.55,7.48,2.75,5.13
IRQ,Iraq,70.678,60.0,0.22,4.13,0.1,6.91,8.67,10.25,7.27,2.4,4.74
ISL,Iceland,93.855,99.0,0.5,3.22,0.21,10.38,14.76,23.79,18.6726,3.48,11.1504
ISR,Israel,92.501,86.78787994384766,0.42,4.47,0.19,6.75,9.06,13.68,8.32,2.13,5.15
ITA,Italy,70.736,76.0999984741211,0.59,3.83,0.13,6.28,9.01,11.75,6.72,2.08,4.33
JAM,Jamaica,55.985,,0.2,3.2,0.17,3.62,4.64,5.94,3.63,1.0,2.28
JOR,Jordan,91.203,,0.21,4.4,0.08,3.07,3.64,5.79,3.03,0.932,1.98
JPN,Japan,91.698,92.73040008544922,0.42,2.3,0.5,18.63,24.68,25.27,17.5349,6.91,12.2413
KAZ,Kazakhstan,57.54,81.87761688232422,0.17,3.67,1.69,31.25,31.06,39.59,30.877,6.94,18.0523
KEN,Kenya,27.507,22.56511878967285,0.11,4.86,0.49,6.18,23.73,56.64,18.0531,5.31,11.0129
KGZ,Kyrgyzstan,36.591,51.0,0.1,3.58,1.33,12.86,13.66,14.72,13.4949,3.54,8.28
KHM,Cambodia,23.805,,0.09,3.04,0.31,5.75,9.06,12.36,8.38,3.05,5.49
