Country Code,Entity,Population,Internet Access (%),Eating Disorder(%),Depressive Disorder (%),Combined Suicide Rate,Male Suicide Rate,Female Suicide Rate
AFG,Afghanistan,37769496,17.600000381469727,0.12,5.13,5.96,6.19,5.67
AGO,Angola,32353592,32.400001525878906,0.14,5.86,12.5546,21.7053,4.68
ALB,Albania,2873883,68.5503921508789,0.15,2.63,3.72,5.27,2.22
ARE,United Arab Emirates,9211660,99.1500015258789,0.32,3.76,5.24,6.29,2.63
ARG,Argentina,44745516,79.9000015258789,0.36,2.59,8.14,13.4763,3.31
ARM,Armenia,2820604,66.54395294189453,0.13,3.19,2.66,4.92,1.02
AUS,Australia,25357168,88.5999984741211,1.14,4.83,11.2523,16.9697,5.58
AUT,Austria,8879939,87.75220489501953,0.62,3.42,10.4022,16.556,4.64
AZE,Azerbaijan,10232761,81.0999984741211,0.15,2.94,3.97,6.61,1.48
BDI,Burundi,11874838,6.199999809265137,0.07,4.79,12.1224,18.9057,6.35
BEL,Belgium,11510569,90.27542877197266,0.48,3.9,13.9283,19.554,8.41
BEN,Benin,12290443,22.399999618530277,0.1,4.54,12.7127,20.2891,6.09
BFA,Burkina Faso,20951638,18.0,0.09,4.43,14.38,24.4542,6.5
BGD,Bangladesh,165516224,23.799999237060547,0.12,4.75,3.85,6.02,1.66
BGR,Bulgaria,7052536,67.94698333740234,0.17,2.88,6.5,10.5745,2.86
BHR,Bahrain,1494195,99.70149230957033,0.3,4.72,7.2,9.86,2.27
BHS,Bahamas,404563,85.0,0.31,3.21,3.37,5.76,1.23
BIH,Bosnia and Herzegovina,3360718,69.94635009765625,0.15,2.95,8.25,13.478,3.41
BLR,Belarus,9673971,82.78915405273438,0.14,4.13,16.4924,30.1174,5.28
BLZ,Belize,389103,50.79999923706055,0.2,3.46,7.65,13.6426,1.83
BOL,Bolivia,11777318,47.47481918334961,0.25,3.55,6.82,9.6,4.19
BRA,Brazil,211782880,73.91243743896484,0.24,3.99,6.41,10.3203,2.76
BRN,Brunei,438058,95.0,0.46,1.74,2.54,4.24,0.781
BTN,Bhutan,767467,53.5,0.15,4.16,5.07,6.77,3.08
BWA,Botswana,2499705,61.0,0.19,4.46,20.2166,35.5426,7.79
CAF,Central African Republic,5209329,8.300000190734863,0.07,5.99,22.963,39.6428,9.3
CAN,Canada,37522584,96.5,0.47,3.64,10.3408,15.3471,5.38
CHE,Switzerland,8575593,93.14608764648438,0.54,4.08,9.83,14.1646,5.65
CHL,Chile,19039484,86.0999984741211,0.39,3.95,8.04,13.4021,2.98
CHN,China,1421864064,64.1098403930664,0.12,2.92,6.67,8.63,4.8
CIV,Cote d'Ivoire,26147544,36.28895568847656,0.12,4.01,15.6586,25.6515,5.03
CMR,Cameroon,25782342,33.5,0.11,4.73,15.9215,25.1526,7.59
COD,Democratic Republic of Congo,89906896,12.5,0.08,5.5,12.4111,20.6948,5.02
COL,Colombia,50187404,65.00689697265625,0.23,2.35,3.74,5.96,1.71
